group	Group1	Group2	Group1_genes	Group1_total	Group2_genes	Group2_total	Group	p_value	fdr	Pathway_Info	Level1	Level2
dog_VS_wolf	dog	wolf	2580981	117868629	605356	32027002	dog	0	0	ABC transporters	Environmental Information Processing	Membrane transport
dog_VS_wolf	dog	wolf	105	117868629	0	32027002	dog	2.31E-11	2.32E-08	AGE-RAGE signaling pathway in diabetic complications	Human Diseases	Endocrine and metabolic disease
dog_VS_wolf	dog	wolf	54885	117868629	13380	32027002	dog	5.67E-30	7.93E-27	AMPK signaling pathway	Environmental Information Processing	Signal transduction
dog_VS_wolf	dog	wolf	97022	117868629	24405	32027002	dog	1.84E-27	2.50E-24	Acarbose and validamycin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
dog_VS_wolf	dog	wolf	16	117868629	272	32027002	dog	7.37E-159	1.59E-155	Adherens junction	Cellular Processes	Cellular community - eukaryotes
dog_VS_wolf	dog	wolf	48107	117868629	13957	32027002	dog	1.21E-11	1.24E-08	Adipocytokine signaling pathway	Organismal Systems	Endocrine system
dog_VS_wolf	dog	wolf	4820	117868629	525	32027002	dog	1.42E-111	2.82E-108	African trypanosomiasis	Human Diseases	Infectious disease: parasitic
dog_VS_wolf	dog	wolf	991818	117868629	221901	32027002	dog	0	0	"Alanine, aspartate and glutamate metabolism "	Metabolism	Amino acid metabolism
dog_VS_wolf	dog	wolf	1390	117868629	657	32027002	dog	1.92E-29	2.67E-26	Alcoholism	Human Diseases	Substance dependence
dog_VS_wolf	dog	wolf	52355	117868629	16063	32027002	dog	1.64E-40	2.51E-37	Alzheimer disease	Human Diseases	Neurodegenerative disease
dog_VS_wolf	dog	wolf	123119	117868629	54176	32027002	dog	0	0	Amino acid metabolism	Not Included in Pathway or Brite	Unclassified: metabolism
dog_VS_wolf	dog	wolf	1384234	117868629	367248	32027002	dog	1.90E-38	2.86E-35	Amino acid related enzymes	Brite Hierarchies	Protein families: metabolism
dog_VS_wolf	dog	wolf	1340886	117868629	330626	32027002	dog	0	0	Amino sugar and nucleotide sugar metabolism	Metabolism	Carbohydrate metabolism
dog_VS_wolf	dog	wolf	1049523	117868629	304906	32027002	dog	2.97E-231	6.96E-228	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	Translation
dog_VS_wolf	dog	wolf	82529	117868629	27215	32027002	dog	1.69E-163	3.66E-160	Aminobenzoate degradation	Metabolism	Xenobiotics biodegradation and metabolism
dog_VS_wolf	dog	wolf	30576	117868629	6298	32027002	dog	1.92E-94	3.71E-91	Amoebiasis	Human Diseases	Infectious disease: parasitic
dog_VS_wolf	dog	wolf	1398	117868629	655	32027002	dog	1.47E-28	2.04E-25	Amphetamine addiction	Human Diseases	Substance dependence
dog_VS_wolf	dog	wolf	30505	117868629	11102	32027002	dog	3.08E-146	6.51E-143	Amyotrophic lateral sclerosis	Human Diseases	Neurodegenerative disease
dog_VS_wolf	dog	wolf	208056	117868629	51248	32027002	dog	5.80E-90	1.10E-86	Antifolate resistance	Human Diseases	Drug resistance: antineoplastic
dog_VS_wolf	dog	wolf	31432	117868629	7674	32027002	dog	2.06E-17	2.44E-14	Antigen processing and presentation	Organismal Systems	Immune system
dog_VS_wolf	dog	wolf	614024	117868629	118005	32027002	dog	0	0	Antimicrobial resistance genes	Brite Hierarchies	Protein families: signaling and cellular processes
dog_VS_wolf	dog	wolf	193	117868629	23	32027002	dog	5.84E-05	0.039417356	Apelin signaling pathway	Environmental Information Processing	Signal transduction
dog_VS_wolf	dog	wolf	9256	117868629	3474	32027002	dog	2.26E-56	3.82E-53	Apoptosis	Cellular Processes	Cell growth and death
dog_VS_wolf	dog	wolf	24569	117868629	8404	32027002	dog	2.02E-71	3.66E-68	Apoptosis - fly	Cellular Processes	Cell growth and death
dog_VS_wolf	dog	wolf	1885	117868629	180	32027002	dog	7.74E-54	1.29E-50	Apoptosis - multiple species	Cellular Processes	Cell growth and death
dog_VS_wolf	dog	wolf	16909	117868629	7295	32027002	dog	1.62E-223	3.77E-220	Arachidonic acid metabolism	Metabolism	Lipid metabolism
dog_VS_wolf	dog	wolf	526974	117868629	122706	32027002	dog	0	0	Arginine biosynthesis	Metabolism	Amino acid metabolism
dog_VS_wolf	dog	wolf	21452	117868629	15755	32027002	dog	0	0	Atrazine degradation	Metabolism	Xenobiotics biodegradation and metabolism
dog_VS_wolf	dog	wolf	115	117868629	320	32027002	dog	2.01E-119	4.08E-116	Autophagy - animal	Cellular Processes	Transport and catabolism
dog_VS_wolf	dog	wolf	22	117868629	123	32027002	dog	1.13E-59	1.95E-56	Autophagy - other	Cellular Processes	Transport and catabolism
dog_VS_wolf	dog	wolf	14328	117868629	2765	32027002	dog	1.53E-65	2.72E-62	Autophagy - yeast	Cellular Processes	Transport and catabolism
dog_VS_wolf	dog	wolf	22255	117868629	7558	32027002	dog	9.34E-61	1.63E-57	Axon regeneration	Organismal Systems	Development and regeneration
dog_VS_wolf	dog	wolf	159317	117868629	41823	32027002	dog	3.12E-10	3.00E-07	Bacterial chemotaxis	Cellular Processes	Cell motility
dog_VS_wolf	dog	wolf	15189	117868629	1775	32027002	dog	2.37E-308	5.90E-305	Bacterial invasion of epithelial cells	Human Diseases	Infectious disease: bacterial
dog_VS_wolf	dog	wolf	381093	117868629	119404	32027002	dog	0	0	Bacterial motility proteins	Brite Hierarchies	Protein families: signaling and cellular processes
dog_VS_wolf	dog	wolf	658392	117868629	188207	32027002	dog	1.30E-83	2.43E-80	Bacterial secretion system	Environmental Information Processing	Membrane transport
dog_VS_wolf	dog	wolf	109294	117868629	38121	32027002	dog	0	0	Bacterial toxins	Brite Hierarchies	Protein families: signaling and cellular processes
dog_VS_wolf	dog	wolf	390494	117868629	103786	32027002	dog	2.20E-10	2.12E-07	Base excision repair	Genetic Information Processing	Replication and repair
dog_VS_wolf	dog	wolf	147763	117868629	29445	32027002	dog	0	0	Benzoate degradation	Metabolism	Xenobiotics biodegradation and metabolism
dog_VS_wolf	dog	wolf	2556	117868629	196	32027002	dog	3.78E-93	7.27E-90	Betalain biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
dog_VS_wolf	dog	wolf	637	117868629	86	32027002	dog	4.80E-11	4.77E-08	Bile secretion	Organismal Systems	Digestive system
dog_VS_wolf	dog	wolf	288668	117868629	62310	32027002	dog	0	0	Biofilm formation - Escherichia coli	Cellular Processes	Cellular community - prokaryotes
dog_VS_wolf	dog	wolf	132125	117868629	23745	32027002	dog	0	0	Biofilm formation - Pseudomonas aeruginosa	Cellular Processes	Cellular community - prokaryotes
dog_VS_wolf	dog	wolf	271788	117868629	67836	32027002	dog	8.69E-89	1.65E-85	Biofilm formation - Vibrio cholerae	Cellular Processes	Cellular community - prokaryotes
dog_VS_wolf	dog	wolf	1	117868629	10	32027002	dog	1.76E-06	0.001358475	" Biosynthesis of 12-, 14- and 16-membered macrolides "	Metabolism	Metabolism of terpenoids and polyketides
dog_VS_wolf	dog	wolf	69275	117868629	22984	32027002	dog	9.04E-147	1.92E-143	Biosynthesis of ansamycins	Metabolism	Metabolism of terpenoids and polyketides
dog_VS_wolf	dog	wolf	345	117868629	246	32027002	dog	1.97E-28	2.72E-25	Biosynthesis of enediyne antibiotics	Metabolism	Metabolism of terpenoids and polyketides
dog_VS_wolf	dog	wolf	29589	117868629	4786	32027002	dog	2.74E-274	6.67E-271	Biosynthesis of siderophore group nonribosomal peptides	Metabolism	Metabolism of terpenoids and polyketides
dog_VS_wolf	dog	wolf	11089	117868629	1482	32027002	dog	7.37E-173	1.62E-169	Biosynthesis of unsaturated fatty acids	Metabolism	Lipid metabolism
dog_VS_wolf	dog	wolf	54640	117868629	11249	32027002	dog	6.71E-168	1.46E-164	Biosynthesis of vancomycin group antibiotics	Metabolism	Metabolism of terpenoids and polyketides
dog_VS_wolf	dog	wolf	58	117868629	1	32027002	dog	1.95E-05	0.013817929	Biosynthesis of various secondary metabolites - part 1	Metabolism	Biosynthesis of other secondary metabolites
dog_VS_wolf	dog	wolf	115999	117868629	47937	32027002	dog	0	0	Biosynthesis of various secondary metabolites - part 2	Metabolism	Biosynthesis of other secondary metabolites
dog_VS_wolf	dog	wolf	2343	117868629	811	32027002	dog	5.62E-09	5.11E-06	Biosynthesis of various secondary metabolites - part 3	Metabolism	Biosynthesis of other secondary metabolites
dog_VS_wolf	dog	wolf	310933	117868629	92723	32027002	dog	1.51E-134	3.15E-131	Biotin metabolism	Metabolism	Metabolism of cofactors and vitamins
dog_VS_wolf	dog	wolf	8954	117868629	3564	32027002	dog	3.16E-78	5.81E-75	Bladder cancer	Human Diseases	Cancer: specific types
dog_VS_wolf	dog	wolf	517642	117868629	154622	32027002	dog	3.12E-231	7.31E-228	Butanoate metabolism	Metabolism	Carbohydrate metabolism
dog_VS_wolf	dog	wolf	6	117868629	30	32027002	dog	3.79E-15	4.26E-12	C-type lectin receptor signaling pathway	Organismal Systems	Immune system
dog_VS_wolf	dog	wolf	189100	117868629	34173	32027002	dog	0	0	C5-Branched dibasic acid metabolism	Metabolism	Carbohydrate metabolism
dog_VS_wolf	dog	wolf	22900	117868629	5216	32027002	dog	1.20E-31	1.70E-28	CD molecules	Brite Hierarchies	Protein families: signaling and cellular processes
dog_VS_wolf	dog	wolf	765	117868629	51	32027002	dog	7.75E-33	1.11E-29	Caffeine metabolism	Metabolism	Biosynthesis of other secondary metabolites
dog_VS_wolf	dog	wolf	240	117868629	30	32027002	dog	1.44E-05	0.010389288	Calcium signaling pathway	Environmental Information Processing	Signal transduction
dog_VS_wolf	dog	wolf	16222	117868629	4101	32027002	dog	3.32E-05	0.022979412	Caprolactam degradation	Metabolism	Xenobiotics biodegradation and metabolism
dog_VS_wolf	dog	wolf	71588	117868629	13980	32027002	dog	1.64E-300	4.07E-297	Carbapenem biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
dog_VS_wolf	dog	wolf	39128	117868629	4768	32027002	dog	0	0	Carbohydrate digestion and absorption	Organismal Systems	Digestive system
dog_VS_wolf	dog	wolf	91284	117868629	19696	32027002	dog	9.24E-199	2.10E-195	Carbohydrate metabolism	Not Included in Pathway or Brite	Unclassified: metabolism
dog_VS_wolf	dog	wolf	527184	117868629	151488	32027002	dog	1.25E-81	2.31E-78	Carbon fixation in photosynthetic organisms	Metabolism	Energy metabolism
dog_VS_wolf	dog	wolf	836408	117868629	241788	32027002	dog	7.62E-158	1.64E-154	Carbon fixation pathways in prokaryotes	Metabolism	Energy metabolism
dog_VS_wolf	dog	wolf	2230	117868629	395	32027002	dog	2.18E-16	2.53E-13	Cardiac muscle contraction	Organismal Systems	Circulatory system
dog_VS_wolf	dog	wolf	3521	117868629	1583	32027002	dog	5.19E-58	8.89E-55	Carotenoid biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
