Sample	Group	Group1
U01B	dog	Pdog
U02B	dog	Pdog
U03B	dog	Pdog
U04B	dog	Pdog
U05B	dog	Pdog
U06B	dog	Pdog
U09B	dog	Pdog
U100B	dog	Wdog
U11B	dog	Pdog
U12B	dog	Pdog
U13A	dog	Pdog
U14B	dog	Pdog
U15B	dog	Pdog
U16A	dog	Pdog
U17B	dog	Pdog
U18B	dog	Pdog
U20A	dog	Pdog
U21B	dog	Pdog
U22B	dog	Pdog
U23B	dog	Pdog
U26B	dog	Pdog
U28B	dog	Pdog
U29B	dog	Pdog
U30B	dog	Pdog
U32A	dog	Pdog
U33A	dog	Pdog
U34B	dog	Pdog
U35B	dog	Pdog
U36B	dog	Pdog
U38B	dog	Pdog
U43B	dog	Pdog
U44A	dog	Pdog
U46B	dog	Pdog
U47B	dog	Pdog
U48B	dog	Pdog
U49B	dog	Pdog
U50B	dog	Pdog
U51A	dog	Pdog
U52B	dog	Pdog
U54A	dog	Pdog
U55B	dog	Pdog
U56B	dog	Pdog
U57B	dog	Pdog
U58B	dog	Pdog
U62B	dog	Wdog
U63B	dog	Wdog
U64B	dog	Wdog
U65B	dog	Wdog
U66B	dog	Wdog
U67B	dog	Wdog
U68A	dog	Wdog
U69B	dog	Wdog
U72A	dog	Wdog
U73B	dog	Wdog
U74A	dog	Wdog
U76B	dog	Wdog
U77B	dog	Wdog
U78B	dog	Wdog
U79B	dog	Wdog
U80B	dog	Wdog
U82B	dog	Wdog
U84B	dog	Wdog
U85B	dog	Wdog
U86A	dog	Wdog
U87A	dog	Wdog
U88A	dog	Wdog
U89B	dog	Wdog
U90B	dog	Wdog
U91B	dog	Wdog
U92B	dog	Wdog
U93B	dog	Wdog
U94A	dog	Wdog
U95B	dog	Wdog
U96A	dog	Wdog
U97B	dog	Wdog
U98B	dog	Wdog
U99B	dog	Wdog
